slot,front_sig,front_signer_site,front_sell_amount_site,front_buy_amount_site,back_sig,back_signer_site,back_sell_amount_site,back_buy_amount_site,front_signer_db,front_sell_amount_db,front_buy_amount_db,back_signer_db,back_sell_amount_db,back_buy_amount_db,status,same_signer,profit,relative_amount_diff,,,,,
377279718,41Zk4XstjTjGDTrR9K26xc9DQic7i2w7q5ZoWa1hE3EbCCsCi9EX6NPhjnrb2WANbvnN7ppC9LpdcXs4Z7Ykphsj,81D6kN,6038.02,1.118,KTGvUdK1hKwqw7ZdsCFMs2Xa36NVvHr3HHu2Y4Kdg4QUyFTmPRvM9BuGxrgPSjv3zSdj5XtcWVWbZrEdC9x7nW7,81D6kN,0.998,7725.769,nan,0,0,nan,0,0,site_only,TRUE,1687.749,0.107334526,,,,,
377282500,5TzpAXMdmgZyWbeR3oZGBnGwdGUKdThN1JiJDNsKDSt1s7XvCPR5fQw9KHpgZzQjJ5SLte7oeYBNDxBpHxPDV3AF,8KK35R,0.475,16723867,5DcpWt6dw7Sv3XzFpXq76rxKPV24qJ8ficPUaW7yF11hQNsm5YCghWyWrWYDnb6svxP33j1EkvH48EdXJFm2BR7s,8KK35R,16723867,0.507,nan,0,0,nan,0,0,site_only,TRUE,0.032,0,,,,,
377284108,4sCpg9DJawL1mukSJfiwuF4xCcfiX8wZ8UQPoiFM5FCmpYGhTp7vxGJAwzJVUyWvEWfkDLiuGcw6YBmQDbrXi4hW,69gvNU,0.753,3151105.4,3x4Zk84KTtdem85BfBTxkpVTBdtqmK9beW6f2LP2mQZbJ5tQRowyFcc9HK1oHPQrT5iQcNatTEVgegmj9U21QHya,69gvNU,2346240.7,0.785,nan,0,0,nan,0,0,site_only,TRUE,0.032,0.25542297,,,,,
377284149,62jgYztMPxVwaYJRK29d4xv1VnTbigg4HfAZabDVSPCYhkpdScppC9TEhY7ie2CCAhuPfqQafTwHg3hTrr8GhUkq,7ZqPFD,0.385,13608825,5paqvPEvkE5Ni7zvgXZDmyHTCtKDsxvAjzLyCjyGByMb5tmko5yDwsotGKLLZzFZeC2d6ZWqyGHn8jw7HNZ4AkvT,7ZqPFD,13608825,0.412,nan,0,0,nan,0,0,site_only,TRUE,0.027,0,,,,,
377286432,3ocKeDGVPrJK2zafSrpoJw8HW1CFpNKyotNpkopEy8s5Z3hvuL7Rd4PgahxMrBEUjgJkWvwomapNPa4mb9LmKnB7,7A6Q3s,111623.62,4.328,AefXQVfZBGrijefvpFq56qZrJuvETkVUEAG2Wvnf7ikcCEWtqkKn43bg9zwWy2wcKu1RvNPCu8wVKnkYdfx57pu,7A6Q3s,3.732,116195.16,nan,0,0,nan,0,0,site_only,TRUE,4571.54,0.137707948,,,,,
377287198,oYQjJ8DAY9iwXatVjj3hjfTBRkU3S8wwJYAncAkoW9QgcaWPdrhYmUw8D92jWjzdxwohePJAxUaEVetfCZsZQDn,AELBkM,2.324,39911.988,5aJ9Y6Ak93ZmTEEDAu9szRRShBqxWYpSxhqrE25aCsLE8edYaqTD4WtUt7UKYYYNqWRz6gW5FVCokb7CuKNNagR3,AELBkM,37058.405,2.655,nan,0,0,nan,0,0,site_only,TRUE,0.331,0.07149689,,,,,
377295550,5aavVBP5iytVNiz8CHguvjCnNXUrR86sG8dE4ck5yDMtasroru89DAHJ6Kh2wZLGYZWZKVJGAimpHPGYWitTgH2u,3C5rHj,468961.86,1.577,444DsBELJvtDb1HkAZuUa7P5whnZhAwPdqdDfovLumxP5MufhyuLe719MkyCZKTizg6i4ZkT1Yd2ATUqFAf5JjrU,3C5rHj,1.38,484999.88,nan,0,0,nan,0,0,site_only,TRUE,16038.02,0.124920736,,,,,
377299416,4cDci3c2x3mGak8bxVbCwntpEjJQV28EkiTPuAZxgP4AMiCPDNt4bW5bu3hinytkPVwhkPZsjMpnbeGzMkzXsA8S,9Jo5eu,94191.151,2.508,5hpEfqmxJMZ7vgGncAffwaDrNX4WngGTXTKLFUX6j5y83RrxkFQs7whdzUZiBq6ebKHKJLvmhx5TmJYHeURnZBtA,9Jo5eu,2.079,100016.32,nan,0,0,nan,0,0,site_only,TRUE,5825.169,0.171052632,,,,,
377299534,3KycEoRBP5ZdxGtehgxqBjcM3yF94kktcqNftxTXaPfYGRdRVpWFGcDqbaaSwH43zjmnz2XLPZuV4k72EAUSYgoL,2doihk,2.046,115025.1,3DbsbkSDEbMih73xiugUZ9ZLa45DBoGaAYSmPwsZgUgjSbVCb1zpdYrLyw7nxxBuwGcBN1D97EDEZ4MdjpTHHMSK,2doihk,87086.488,2.362,nan,0,0,nan,0,0,site_only,TRUE,0.316,0.242891438,,,,,
377300255,7ouQubn6z6ZXYXnuipyhVLgtnorsnTV49Tay8Qd4nqLDPbEVhYX4jF5hsTMiw3nxEGrnij3DvgEymM8G55hgZXa,BYiEbo,9.90E-05,590763.43,4nbTELNuKvDftjZZbg9Jn31Ug2ubSpGwxH5f3qGqCUim75euNK48Cn2k7a5xoUx34MTuTTHYqGBx8HyvkxmZZqiz,BYiEbo,139197.57,0.000159,nan,0,0,nan,0,0,site_only,TRUE,6.00E-05,0.7643768,,,,,
